index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,HB21_ZM_PERKS_PHDFLOPPER,78,0,||assetlist
3,localize,HB21_ZM_PERKS_TOMBSTONE,73,0,||assetlist
4,localize,HB21_ZM_PERKS_ELECTRIC_CHERRY,85,0,||assetlist
5,localize,HB21_ZM_PERKS_VULTUREAID,76,0,||assetlist
6,localize,HB21_ZM_PERKS_WHOSWHO,71,0,||assetlist
7,localize,HB21_ZM_PERKS_ELEMENTAL_POP,81,0,||assetlist
8,techset,mc/vegetation#e6142445,24,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
9,material,mc/mtl_gib_chunk_set,22,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
10,physpreset,gib,5,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
11,xmodel,p7_gib_chunk_meat_01,22,0,|zone_source/loc/zm_countryside.zone|csv
12,techset,mc/lit_decal_diffuse_spec_gloss#e6142445,42,0,|mc/mtl_c_gen_gib_gore_leg_calf_a|material|zone_source/loc/zm_countryside.zone|csv
13,material,mc/mtl_c_gen_gib_gore_arm_right_a,35,0,|zone_source/loc/zm_countryside.zone|csv
14,xmodel,p7_gib_chunk_meat_02,22,0,|zone_source/loc/zm_countryside.zone|csv
15,xmodel,p7_gib_chunk_meat_03,22,0,|zone_source/loc/zm_countryside.zone|csv
16,xmodel,p7_gib_chunk_flesh_01,23,0,|zone_source/loc/zm_countryside.zone|csv
17,xmodel,p7_gib_chunk_flesh_03,23,0,|zone_source/loc/zm_countryside.zone|csv
18,xmodel,p7_gib_chunk_bone_03,22,0,|zone_source/loc/zm_countryside.zone|csv
19,techset,mc/lit_plus#e6142445,22,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
20,material,mc/mtl_c_gen_gib_gore_arm_right,33,0,|zone_source/loc/zm_countryside.zone|csv
21,material,mc/mtl_c_gen_gib_gore_leg_thigh,33,0,|zone_source/loc/zm_countryside.zone|csv
22,material,mc/mtl_c_gen_gib_gore_leg_thigh_a,35,0,|zone_source/loc/zm_countryside.zone|csv
23,material,mc/mtl_c_gen_gib_gore_leg_calf_a,34,0,|zone_source/loc/zm_countryside.zone|csv
24,material,mc/mtl_c_gen_gib_gore_leg_calf,32,0,|zone_source/loc/zm_countryside.zone|csv
25,sound,zm_countryside.en,44,0,||assetlist
26,keyvaluepairs,en_zm_countryside,6060,0,||assetlist
27,image,i_mtl_p7_gib_chunk_set_c,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
28,image,i_mtl_p7_gib_chunk_set_n,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
29,image,$gray_32_one_channel,22,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
30,image,$thickness_base,17,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
31,image,$white_reveal,15,0,|mc/mtl_c_gen_gib_gore_leg_calf_a|material|zone_source/loc/zm_countryside.zone|csv
32,xmodelmesh,p7_gib_chunk_meat_01_lod09ae13a73,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_countryside.zone|csv
33,xmodelmesh,p7_gib_chunk_meat_01_lod0b1cdd03f,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_countryside.zone|csv
34,xmodelmesh,p7_gib_chunk_meat_01_lod0bf6605c,34,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_countryside.zone|csv
35,xmodelmesh,p7_gib_chunk_meat_01_lod01f019145,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_countryside.zone|csv
36,xmodelmesh,p7_gib_chunk_meat_01_lod022c6bf91,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_countryside.zone|csv
37,image,i_c_gen_gib_gore_arm_right_c,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_countryside.zone|csv
38,image,i_c_gen_gib_gore_arm_right_g,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_countryside.zone|csv
39,xmodelmesh,p7_gib_chunk_meat_02_lod059149772,35,0,|p7_gib_chunk_meat_02|xmodel|zone_source/loc/zm_countryside.zone|csv
40,xmodelmesh,p7_gib_chunk_meat_02_lod0f796fdbb,35,0,|p7_gib_chunk_meat_02|xmodel|zone_source/loc/zm_countryside.zone|csv
41,xmodelmesh,p7_gib_chunk_meat_02_lod0963b1e2a,35,0,|p7_gib_chunk_meat_02|xmodel|zone_source/loc/zm_countryside.zone|csv
42,xmodelmesh,p7_gib_chunk_meat_02_lod021a20dee,35,0,|p7_gib_chunk_meat_02|xmodel|zone_source/loc/zm_countryside.zone|csv
43,xmodelmesh,p7_gib_chunk_meat_03_lod0bd6c549b,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_countryside.zone|csv
44,xmodelmesh,p7_gib_chunk_meat_03_lod058385d86,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_countryside.zone|csv
45,xmodelmesh,p7_gib_chunk_meat_03_lod06e605932,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_countryside.zone|csv
46,xmodelmesh,p7_gib_chunk_meat_03_lod01970b835,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_countryside.zone|csv
47,xmodelmesh,p7_gib_chunk_meat_03_lod0afc48326,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_countryside.zone|csv
48,xmodelmesh,p7_gib_chunk_flesh_01_lod06c0c53de,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_countryside.zone|csv
49,xmodelmesh,p7_gib_chunk_flesh_01_lod0403200c6,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_countryside.zone|csv
50,xmodelmesh,p7_gib_chunk_flesh_01_lod0259096de,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_countryside.zone|csv
51,xmodelmesh,p7_gib_chunk_flesh_01_lod0d933574f,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_countryside.zone|csv
52,xmodelmesh,p7_gib_chunk_flesh_01_lod073297d22,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_countryside.zone|csv
53,xmodelmesh,p7_gib_chunk_flesh_03_lod0a3103fb,35,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_countryside.zone|csv
54,xmodelmesh,p7_gib_chunk_flesh_03_lod0bb76abee,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_countryside.zone|csv
55,xmodelmesh,p7_gib_chunk_flesh_03_lod0e98a1470,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_countryside.zone|csv
56,xmodelmesh,p7_gib_chunk_flesh_03_lod051d7742f,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_countryside.zone|csv
57,xmodelmesh,p7_gib_chunk_flesh_03_lod0b438686a,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_countryside.zone|csv
58,xmodelmesh,p7_gib_chunk_bone_03_lod0d74e0be3,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
59,xmodelmesh,p7_gib_chunk_bone_03_lod0e628576e,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
60,xmodelmesh,p7_gib_chunk_bone_03_lod01e7e3c39,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
61,xmodelmesh,p7_gib_chunk_bone_03_lod03cede14d,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_countryside.zone|csv
62,image,i_c_gen_gib_gore_arm_right_n,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_countryside.zone|csv
63,image,$white_ao,11,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
64,image,i_c_gen_gib_gore_leg_thigh_c,30,0,|mc/mtl_c_gen_gib_gore_leg_thigh_a|material|zone_source/loc/zm_countryside.zone|csv
65,image,i_c_gen_gib_gore_leg_thigh_n,30,0,|mc/mtl_c_gen_gib_gore_leg_thigh|material|zone_source/loc/zm_countryside.zone|csv
66,image,i_c_gen_gib_gore_leg_thigh_g,30,0,|mc/mtl_c_gen_gib_gore_leg_thigh_a|material|zone_source/loc/zm_countryside.zone|csv
67,image,i_c_gen_gib_gore_leg_calf_c,29,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
68,image,i_c_gen_gib_gore_leg_calf_g,29,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
69,image,i_c_gen_gib_gore_leg_calf_n,29,0,|mc/mtl_c_gen_gib_gore_leg_calf|material|zone_source/loc/zm_countryside.zone|csv
70,assetlist,,1088,0,
